season,posteam,games,team_pass_attempts,team_carries,team_rec_yds_exp,team_rec_td_exp,team_rush_td_exp,pass_attempts_pg,carries_pg
2025,CHI,17,574,505,4466.09,28.56,18.470000000000002,33.76470588235294,29.705882352941178
2025,CIN,17,640,381,4528.9800000000005,30.299999999999994,11.43,37.64705882352941,22.41176470588235
2025,CLE,17,558,421,3519.3599999999997,16.570000000000004,14.010000000000003,32.8235294117647,24.764705882352942
2025,DAL,17,624,465,4734.340000000001,41.650000000000006,18.990000000000002,36.705882352941174,27.352941176470587
2025,DEN,17,613,456,4283.049999999999,29.339999999999993,13.42,36.05882352941177,26.823529411764707
2025,DET,17,582,442,4416.89,30.560000000000006,17.12,34.23529411764706,26
2025,GB,17,489,492,3682.13,24.790000000000003,17.300000000000004,28.764705882352942,28.941176470588236
2025,HOU,17,582,475,4177.139999999999,27.98,16.63,34.23529411764706,27.941176470588236
2025,IND,17,547,442,4148.86,27.320000000000007,24.740000000000002,32.1764705882353,26
2025,JAX,17,563,489,4365.3,30.98,22.849999999999998,33.11764705882353,28.764705882352942
2025,KC,17,584,430,4032.8100000000004,32.1,15.060000000000002,34.35294117647059,25.294117647058822
2025,LA,17,597,465,4704.820000000001,43.919999999999995,19.569999999999997,35.11764705882353,27.352941176470587
2025,LAC,17,569,466,4025.17,29.11,15.870000000000001,33.470588235294116,27.41176470588235
2025,LV,17,515,369,3335.4400000000005,18.499999999999996,8.190000000000001,30.294117647058822,21.705882352941178
2025,MIA,17,479,432,3439.9599999999996,19.66,11.249999999999998,28.176470588235293,25.41176470588235
2025,MIN,17,484,410,3409.4399999999996,26.740000000000002,11.760000000000002,28.470588235294116,24.11764705882353
2025,NE,17,502,494,3908.2700000000004,30.75,20.32,29.529411764705884,29.058823529411764
2025,NO,17,591,435,4061.240000000001,19.72,11.599999999999998,34.76470588235294,25.58823529411765
2025,NYG,17,526,511,3655.2700000000004,27.78,21.040000000000003,30.941176470588236,30.058823529411764
2025,NYJ,17,494,456,3106.2900000000004,15.029999999999996,9.26,29.058823529411764,26.823529411764707
2025,PHI,17,497,478,3750.7200000000007,21.869999999999997,20.699999999999996,29.235294117647058,28.11764705882353
2025,PIT,17,550,407,3655.69,26.300000000000004,19.47,32.35294117647059,23.941176470588236
2025,SEA,17,481,507,3639.1,26.38,18.730000000000004,28.294117647058822,29.823529411764707
2025,SF,17,574,481,4258.21,32.23,19.61,33.76470588235294,28.294117647058822
2025,TB,17,558,472,4235.01,25.88,14.53,32.8235294117647,27.764705882352942
2025,TEN,17,570,378,3757.7000000000003,16.18,8.790000000000001,33.529411764705884,22.235294117647058
2025,WAS,17,469,484,3401.58,23.300000000000004,21.540000000000003,27.58823529411765,28.470588235294116
