season,player_id,full_name,position,opps_rec,opps_rush,ep_total_rec,ep_total_rush,ep_per_opp_rec,ep_per_opp_rush
2024,00-0035406,Lil'Jordan Humphrey,WR,45,NA,89.639445074572,NA,1.991987668323822,NA
2024,00-0035500,Greg Dortch,WR,50,NA,113.05400796682807,NA,2.2610801593365615,NA
2024,00-0035535,Darius Slayton,WR,72,NA,117.7372223134297,NA,1.6352391987976347,NA
2024,00-0035537,Ty Johnson,RB,NA,41,NA,113.01923566777259,NA,2.7565667236042097
2024,00-0035640,DK Metcalf,WR,109,NA,177.49651213038294,NA,1.628408368168651,NA
2024,00-0035644,Noah Fant,TE,64,NA,115.29951661895029,NA,1.8015549471710983,NA
2024,00-0035659,Terry McLaurin,WR,118,NA,237.39133100448805,NA,2.0117909407160006,NA
2024,00-0035676,A.J. Brown,WR,97,NA,185.23829806299182,NA,1.9096731759071321,NA
2024,00-0035685,David Montgomery,RB,NA,186,NA,576.875928471345,NA,3.101483486405081
2024,00-0035700,Josh Jacobs,RB,43,303,84.75613905169303,804.015311926312,1.9710730012021633,2.653515880944925
2024,00-0035710,Daniel Jones,QB,NA,68,NA,157.2291276585746,NA,2.3121930538025675
2024,00-0035719,Deebo Samuel Sr.,WR,81,42,168.23042476322735,125.74315067514544,2.076918824237375,2.9938845398844154
2024,00-0035973,Patrick Taylor,RB,NA,40,NA,110.49318505074177,NA,2.7623296262685444
2024,00-0036040,Juwan Johnson,TE,68,NA,126.43470835758467,NA,1.8593339464350687,NA
